Id;Name;Classes;Requirement;Description;Novice;Journeyman;Master
carousing;Beuverie;warrior&mage&rogue;attribute$communication$1&&attribute$constitution$1;Faire la fête est une seconde nature chez vous.;Vous pouvez boire jusqu’à ce que les autres roulent sous la table. Quand vous faites des tests de Constitution (Grand buveur) dans le cadre d’un test prolongé, le résultat de chacun de vos dés Dragon est augmenté de 1. Vous pouvez ainsi atteindre le seuil de réussite plus vite.;La taverne est comme une deuxième maison pour vous. Choisissez l’une des compétences de Communication suivantes : Jeu ou Séduction. Si vous ratez un test de Communication utilisant la compétence choisie, vous pouvez le relancer mais vous devrez garder le résultat du second jet.;Quand vous passez un bon moment, vous êtes invincible (ou du moins vous le pensez) ! Choisissez l’une des prouesses d’interaction suivantes : Flirt ou Volonté de fer. Vous pouvez accomplir la prouesse choisie pour 3 PP au lieu de 4 normalement, et vous gagnez un bonus de +1 au test en opposition fait pour cette prouesse. Si vous choisissez par exemple Volonté de fer, votre bonus aux tests en opposition est donc de +2 au lieu de +1 normalement.
thievery;Cambriolage;rogue;attribute$dexterity$3;Ce qui est à vous est à vous , ce qui est aux autres aussi d’ailleurs.;Aucune serrure ne vous résiste. Si vous ratez un test de Dextérité (Crochetage), vous pouvez le relancer, mais vous devez garder le résultat du second jet.;Vous êtes familier de nombreux types de pièges. Si vous ratez un test de Dextérité (pièges), vous pouvez le relancer, mais vous devez garder le résultat du second jet.;Vous savez trouver les choses les mieux cachées. Si vous ratez un test de Perception (Fouille), vous pouvez le relancer, mais vous devez garder le résultat du second jet.
horsemanship;Cavalerie;warrior&mage&rogue;focus$riding;Vous êtes un cavalier doué et vous dirigez les chevaux et les bêtes de somme avec facilité.;Vous savez sauter en selle rapidement. Enfourcher une monture est une action libre pour vous.;À cheval, vous êtes rapide comme le vent. Quand vous chevauchez une monture, elle bénéficie d’un bonus de +2 à sa Rapidité.;Vous êtes aussi à l’aise en selle que si vous y étiez né. Vous ajoutez +1 à votre Défense quand vous chevauchez une monture. Vous pouvez aussi refaire vos tests ratés de Dextérité (Équitation), mais vous devez garder le résultat du second jet.
chirurgy;Chirurgie;warrior&mage&rogue;focus$healing;Vous pouvez soigner les blessures et les maladies.;Vous avez été formé à l’art de la chirurgie et vos soins sont rapides et sans risques. Soigner est une action mineure pour vous.;Vous avez les mains d’un guérisseur. Quand vous utilisez l’action soigner, la Santé de votre allié remonte d’un nombre égal à (dé Dragon x 2) + Ruse.;Vos talents de soigneur sont légendaires. Quand vous utilisez l’action soigner, la Santé de votre allié remonte d’un nombre égal à (dé Dragon x 3) + Ruse.
dual_weapon_style;Combat à deux Armes;warrior&rogue;attribute$dexterity$2;Vous êtes capable de combattre en tenant une arme dans votremain directrice (votre arme principale) et une autre dans l’autremain (votre arme secondaire). Ni l’une ni l’autre ne peut être unearme à deux mains, et la Force minimale nécessaire pour manierl’arme secondaire est augmentée de 2 (vous devez avoir uneForce d’au moins 1 pour manier une épée courte comme armesecondaire, par exemple). Sauf précision contraire, vos attaquessont faites avec l’arme principale.;Le fait de manier deux armes peut vous aider à attaquer ou à vous défendre. Si vous utilisez l’action activer, vous bénéficiez jusqu’à la fin de la rencontre soit d’un bonus de +1 à vos jets d’attaque au corps à corps, soit d’un bonus de +1 à votre Défense contre les attaques au corps à corps. Vous pouvez changer de bonus grâce à une nouvelle action activer.;Vous pouvez accomplir l’exploit Attaque éclair pour 2 PP au lieu de 3 normalement, mais la seconde attaque doit être faite avec votre arme secondaire.;Vous pouvez faire pleuvoir sur vos adversaires une pluie de coups de vos deux armes. Si vous effectuez une attaque de corps à corps avec votre arme principale et que vous n’êtes pas en train de charger, vous pouvez effectuer une autre attaque avec votre arme secondaire au prix d’une action mineure. La seconde attaque ne peut pas générer de points de prouesse, et vous n’ajoutez que la moitié de votre Force (arrondie à l’inférieur) aux dégâts.
two_hander_style;Combat à deux Mains;warrior;attribute$strength$3#weapon_group$bludgeons&weapon_group$axes&weapon_group$spears&weapon_group$heavy_blades;Vous êtes redoutable quand vous maniez une arme de corps àcorps à deux mains.;L’allonge de votre arme et la puissance de vos attaques obligent vos ennemis à céder du terrain. Quand une de vos attaques de corps à corps avec une arme à deux mains touche, vous pouvez déplacer la cible de 2 mètres dans n’importe quelle direction.;Vous assénez des coups terrifiants de votre arme. Quand vous maniez une arme à deux mains, vous pouvez accomplir l’exploit Coup puissant pour 1 PP au lieu de 2 normalement.;Vous ne faites plus qu’un avec votre arme. Quand vous maniez une arme à deux mains, vous pouvez choisir de relancer vos dégâts, mais vous devez conserver le résultat du second jet.
pole_weapon_style;Combat à l'Arme d'Hast;warrior;weapon_group$polearms&weapon_group$spears;Les armes d’hast peuvent être malaisées à manier, mais pas entrevos mains. Vous pouvez utiliser ce style de combat avec unepique ou n’importe quelle arme du groupe des Armes d’hast.;Vous savez tirer parti de l’allonge de votre arme. Vous considérez comme s’ils étaient adjacents à vous les ennemis jusqu’à 4 mètres de vous, et vous pouvez donc les attaquer au corps à corps (ils ne peuvent par contre pas vous attaquer à moins d’avoir eux aussi ce talent). Un allié situé entre vous et votre adversaire ne vous empêche pas d’attaquer, au contraire : il s’agit en fait d’une tactique répandue.;Quand on vous laisse vous préparer, il devient difficile de vous faire bouger. Vous pouvez utiliser une action activer pour vous ancrer au sol. Jusqu’à la fin de la rencontre, tout adversaire qui tente d’utiliser la prouesse Escarmouche ou le grade Novice du talent Combat à deux mains contre vous doit d’abord faire un jet d’attaque en opposition. Si vous l’emportez, votre adversaire ne parvient pas à vous déplacer et ses points de prouesse sont perdus. Si votre adversaire l’emporte, il peut accomplir sa ou ses prouesses Escarmouche.;Vous tirez le meilleur parti des spécificités de votre arme. Si vous maniez une fourche de guerre ou une pique, vous pouvez accomplir la prouesse Défaut de l’armure pour 1 PP au lieu de 2 normalement. Si vous maniez un fauchard ou une hallebarde, vous pouvez accomplir la prouesse Mise à terre pour 1 PP au lieu de 2 normalement. De plus les combattants montés ne gagnent pas le bonus de +1 accordé contre un adversaire à pied quand ils vous attaquent.
unarmed_style;Combat à Mains Nues;warrior&mage&rogue;weapon_group$brawling;Vous vous débrouillez dans les bagarres à mains nues.;Vos poings sont durs comme le fer. Quand vous attaquez avec votre poing, vous infligez 1d6 dégâts au lieu d’1d3.;Vos directs peuvent étendre les adversaires les plus résistants. Quand vous attaquez avec vos poings ou un gantelet, vous pouvez accomplir la prouesse Mise à terre pour 1 PP au lieu de 2 normalement.;Vous ne pouvez jamais être désarmé, mais ce n’est pas le cas de vos adversaires. Quand vous accomplissez la prouesse Désarmement, vous gagnez un bonus de +2 à votre jet d’attaque lors du test en opposition.
weapon_shield_style;Combat à une Arme et Bouclier;warrior;attribute$strength$2;Vous vous êtes entraîné à combattre avec une arme de corps à corps à une main et un bouclier.;Vous savez manier des boucliers de toutes les formes et toutes les tailles. Vous bénéficiez de l’intégralité du bonus de Défense quand vous utilisez un bouclier.;Vous savez tirer le meilleur parti de votre bouclier. Vous pouvez accomplir l’exploit Posture défensive au prix d’1 PP au lieu de 2 normalement.;Vos adversaires ont bien du mal à déjouer vos défenses. Le bonus de bouclier de tous les boucliers que vous utilisez augmente de 1.
single_weapon_style;Combat à une seul Arme;warrior&rogue;attribute$perception$2;Vous combattez efficacement au corps à corps avec une unique arme à une main.;Combattre avec une seule arme exige beaucoup d’attention. En utilisant l’action activer, vous bénéficiez d’un +1 à la Défense jusqu’à la fin de la rencontre quand vous combattez dans ce style.;Une seule arme vous suffit pour créer une véritable muraille d’acier. Votre bonus à la Défense passe à +2 quand vous utilisez ce style.;Vous savez affronter plusieurs ennemis en même temps. Les adversaires qui effectuent des attaques de corps à corps contre vous n’obtiennent jamais de bonus à leurs jets d’attaque pour l’avantage numérique.
thrown_weapon_style;Combat aux Armes de Jet;warrior&rogue;weapon_group$axes&weapon_group$null&weapon_group$spears;Vous excellez au maniement des armes lancées.;Votre précision est étonnante. Vous vous gagnez un bonus de +1 aux jets d’attaque avec des armes de jet.;Vous êtes capable de dégainer une arme de jet en un clin d’oeil. Vous pouvez recharger une arme de jet au prix d’une action libre au lieu d’une action mineure.;Vous savez où frapper pour ignorer l’armure de vos ennemis. Quand vous accomplissez la prouesse Défaut de l’armure, vos dégâts sont pénétrants. (Cette prouesse divise normalement le score d’armure de votre adversaire par deux alors que les dégâts pénétrants vous permettent de l’ignorer complètement).
archery_style;Combat d'Archerie;warrior&rogue;weapon_group$bows;Vous avez l’habitude de manier des arcs et des arbalètes.;Vous visez juste. Quand vous utilisez l’action viser en maniant un arc ou une arbalète, vous bénéficiez d’un +2 à votre jet d’attaque au lieu du +1 normal.;Après de longues heures d’entraînement, vous rechargez plus vite que le commun des archers. Vous pouvez recharger un arc au prix d’une action libre et une arbalète au prix d’une action mineure.;Quand vous tirez avec un arc ou une arbalète, vous pouvez accomplir la prouesse Attaque éclair pour 2 points de prouesse au lieu de 3 normalement. (Si vous utilisez une arbalète, vous aurez aussi besoin d’accomplir la prouesse Rechargement rapide pour ce faire, puisque il est nécessaire d’avoir une arme chargée pour utiliser Attaque éclair).
mounted_combat_style;Combat Monté;warrior;focus$riding;Vous avez été entraîné à vous battre depuis le dos d’une monture. Note : il est impossible d’utiliser une arme à deux mains ou un arc long en chevauchant une monture (y compris pour les personnages n’ayant pas ce talent). Si vous essayez de le faire, ces armes sont considérées comme des armes improvisées.;Vous pouvez tirer parti de la mobilité de votre monture dans les combats. Quand vous effectuez une action se déplacer alors que vous êtes monté, vous pouvez vous déplacer d’une partie de la distance à laquelle vous avez droit, puis utiliser votre action majeure pour effectuer une attaque au corps à corps ou à distance, et enfin vous déplacer du reste de la distance à laquelle vous avez droit. La distance totale dont vous vous déplacez ne peut pas dépasser la Rapidité de votre monture. Vous devriez normalement terminer votre déplacement avant d’attaquer.;Vos charges de cavalerie sont redoutables. Vous pouvez vous déplacer de l’intégralité de la Rapidité de votre monture quand vous effectuez une action charger et infliger +1 dégât si votre attaque touche.;Vous ne faites qu’un avec votre monture. La prouesse Mise à terre ne peut pas vous faire tomber de votre selle.
command;Commandement;warrior&mage;attribute$communication$2;Vous avez l’étoffe d’un chef.;Votre présence inspire vos alliés. Si vous utilisez une action majeure pour accomplir un geste héroïque (brandir votre épée, lancer un cri de guerre, agiter un étendard, etc.), vos alliés bénéficient d’un bonus de +1 à leurs tests de Volonté (Courage) pour le reste de la rencontre.;Vos alliés suivent votre exemple. Tous les PNJ que vous menez bénéficient d’un bonus de +1 à leurs jets d’initiative.;Tant que vous tenez bon, vos alliés tiennent avec vous. Quand vous dirigez des PNJ au cours d’une rencontre, ils ne commencent à faire des tests de Volonté (Moral) qu’une fois que plus des deux tiers des combattants de votre camp sont hors de combat (morts ou inconscients). Si vous quittez le combat ou si vous êtes mis hors de combat, cet avantage est perdu.
contacts;Contacts;warrior&mage&rogue;attribute$communication$1;Vous connaissez beaucoup de gens, parfois dans les endroits les plus improbables.;Vous pouvez essayer de transformer un PNJ en contact grâce à un test réussi de Comm unication (Persuasion). Le MJ fixe le niveau de difficulté du test en fonction des chances que vous connaissiez le PNJ ou que vous ayez des amis communs. Plus les origines sociales ou géographiques du PNJ sont éloignées des vôtres, plus le test sera difficile. Un contact sera amical envers vous, mais il ne fera pas d’effort exceptionnel pour vous aider sans une motivation supplémentaire. Vous ne pouvez pas transformer un PNJ qui est déjà antipathique ou hostile envers vous en contact.;Une fois que vous avez transformé un PNJ en contact, vous pouvez tenter d’en obtenir une faveur grâce à un autre test réussi de Comm unication (Persuasion). Le niveau de difficulté dépend de la nature de la faveur et des risques qu’elle pourrait faire courir au contact.;Vous pouvez transformer une simple connaissance en allié grâce à une démonstration de loyauté. Si vous rendez un service significatif à un contact, celui-ci vous traitera comme un ami quand vous lui demanderez à votre tour des services. Il fera tout son possible pour vous aider, même s’il doit se mettre en danger pour cela.
linguistics;Don pour les Langues;warrior&mage&rogue;attribute$cunning$2;Vous apprenez facilement de nouvelles langues. Certaines des langues décrites ici sont parlées sur des terres très éloignées de Férelden et ne sont pas souvent entendues dans ce pays. Quand vous apprenez une nouvelle langue, vous savez à la fois la parler et la lire, à deux exceptions près. Le tévintide antique n’est quasiment jamais parlé hors de l’Empire tévintide. L’elfique n’est plus que parlé, et uniquement car les archivistes en conservent la tradition.;Vous apprenez une langue supplémentaire tirée de la liste suivante : andérien, antivan, commun, elfique, nain, orlésien, qunlat, riveïnien, tévintide, tévintide antique.;Vous apprenez une langue supplémentaire tirée de la liste précédente. Vous pouvez aussi tenter d’imiter un dialecte spécifique grâce à un test réussi de Communication (Spectacle).;Vous apprenez deux langues supplémentaires tirées de la liste précédente. Vous pouvez aussi choisir l’une des langues que vous connaissez : vous parlez cette langue comme si c’était votre langue maternelle (sans aucun accent).
animal_training;Dressage;warrior&mage&rogue;none;Vous savez dresser les animaux. Les Féreldiens dressent souvent des chiens, tandis que les Alvars préfèrent les faucons et autres oiseaux de proie.;Vous connaissez les bases du dressage. En une semaine d’entraînement, vous pouvez apprendre à un animal à suivre un ordre simple d’un seul mot comme « assis », « viens » ou « attaque ». Vous pouvez apprendre autant d’ordres que votre Communication à un même animal.;Vous pouvez apprendre aux animaux à suivre des ordres plus compliqués comme « garde cet endroit » ou « reviens vers moi quand des étrangers approcheront ». Apprendre un ordre complexe à un animal prend deux semaines d’entraînement et le nombre total d’ordres qu’un même animal peut apprendre est égal à votre Communication +2.;Votre dressage peut faire d’un animal un représentant exemplaire de son espèce. En un mois d’entraînement, vous pouvez augmenter la Dextérité ou la Force d’un animal de 1. Celui-ci gagne aussi la compétence Volonté (Moral). Un animal ne peut bénéficier qu’une seule fois d’un tel entraînement.
oratory;Éloquence;warrior&mage&rogue;focus$persuasion;Vous êtes un orateur doué, capable de convaincre les autres par vos discours.;Vous savez comment influencer une foule. Si vous ratez un test de Communication (Persuasion) alors que vous tentez de convaincre un groupe, vous pouvez refaire le test, mais vous devez garder le résultat du second jet.;Vos paroles possèdent un charme quasi surnaturel. Chaque fois que vous accomplissez la prouesse Influence contagieuse, vous affectez trois personnes supplémentaires au lieu d’une seule.;Vous êtes capable d’enflammer une foule. Si vous réussissez un test de Communication (Persuasion) alors que vous vous adressez à un groupe et que le résultat de votre dé Dragon est un 5 ou un 6, vous poussez ce groupe à agir immédiatement. Vous ne contrôlez pas forcément la forme que prend cette action, même si vous pouvez tenter de le faire grâce à des tests de Communication (Meneur d’hommes), mais le groupe est touché par vos paroles et agit en conséquence.
lore;Érudition;warrior&mage&rogue;attribute$cunning$2;Vous avez un esprit curieux et vous assimilez facilement les informations.;Vous avez beaucoup étudié. Quand vous réussissez un test de Ruse avec une compétence de connaissances, le MJ vous donne une information supplémentaire sur le sujet. Toutes les compétences de Ruse dont le nom contient le mot « connaissance (s) » sont des compétences de connaissances, par exemple Connaissance des cultures ou Connaissances historiques. Le MJ détermine l’information supplémentaire, qui peut être pertinente dans votre situation actuelle ou non.;Vous êtes un chercheur accompli. Quand vous faites un test de Ruse (Recherches) dans le cadre d’un test prolongé, vous bénéficiez d’un bonus de +1 au résultat de tous les dés Dragons. Ce bonus vous permet d’atteindre le seuil de réussite plus rapidement. Les tests prolongés sont détaillés page 213 , votre MJ vous renseignera si vous voulez en savoir plus.;Vous possédez une vaste érudition, mais il y a deux domaines que vous connaissez particulièrement bien. Choisissez deux de vos compétences de connaissances. Quand vous faites des tests utilisant ces compétences, vous pouvez refaire les tests ratés mais vous devez garder le résultat du second jet.
poison_making;Fabrication de Poison;warrior&mage&rogue;focus$poison_lore;Vous avez survécu au périlleux entraînement nécessaire pour créer et utiliser des poisons et autres composés utiles mais dangereux. Pour plus de détails sur l’utilisation de ce talent, consultez la section L’art de l’empoisonnement dans le Chapitre 4 : Les armes, les armures & l’équipement.;Vous savez comment préparer des poisons et en faire usage sans vous mettre en danger. Choisissez deux poisons de novice que vous savez produire de mémoire. Vous pouvez créer d’autres poisons de novice à condition de trouver et d’apprendre leurs recettes.;Vous avez appris à préparer des poisons plus efficaces (et plus dangereux). Vous savez aussi fabriquer des grenades. Choisissez un poison de compagnon ou une grenade que vous savez produire de mémoire. Vous pouvez créer d’autres poisons de compagnon et grenades à condition de trouver et d’apprendre leurs recettes.;Vous avez appris à préparer les plus redoutables poisons de Thédas. Choisissez un poison de maître que vous savez produire de mémoire. Vous pouvez créer d’autres poisons de maître à condition de trouver et d’apprendre leurs recettes.
intrigue;Intrigue;warrior&mage&rogue;attribute$communication$2;Vous êtes un maître des secrets.;Vous connaissez les règles du Grand jeu. Choisissez l’une des compétences de Communication suivantes : Étiquette, Séduction ou Tromperie. Si vous ratez un test de Communication utilisant la compétence choisie, vous pouvez le relancer mais vous devrez garder le résultat du second jet.;Vous obtenez toujours plus d’informations que vous n’en donnez. Vous pouvez accomplir la prouesse d’interaction À ce propos… pour 1 PP au lieu de 2 normalement. De plus, vous gagnez un bonus de +1 sur tous les tests autorisés par cette prouesse.;Vous savez couper court à une conversation. Vous pouvez accomplir la prouesse d’interaction Silence de mort pour 2 PP au lieu de 3 normalement. De plus, vous avez la possibilité de transformer immédiatement la rencontre en rencontre de combat. Dans ce cas, vous-même et un allié par point de prouesse que vous dépensez en plus pouvez agir lors du premier round de combat. Tous les autres personnages sont surpris.
creation_magic;Magie de Création;mage;focus$creation;Vous avez exploré les arcanes de la magie de Création.;Vous pouvez invoquer un feu follet sans dépenser de mana. Le feu follet flotte près de votre épaule jusqu’à ce que vous le dissipiez et illumine comme une lanterne une zone de 10 mètres de rayon autour de vous. Invoquer et dissiper le feu follet sont des actions libres.;Votre connaissance de la magie de Création est profonde. Quand vous invoquez un sort de Création, son coût en Mana est réduit de 1 (il ne peut pas tomber ainsi à 0). Vous gagnez aussi un nouveau sort de Création.;La magie de Création imprègne votre corps, vous accordant un bonus de +1 à la Défense. Vous gagnez aussi un nouveau sort de Création.
entropy_magic;Magie d'Entropie;mage;focus$entropy;Vous avez exploré les arcanes de la magie d’Entropie.;Vous gagnez le pouvoir de sentir la mort. Quand la Santé de quelqu’un tombe à 0 dans votre champ de vision, vous savez combien de rounds il lui reste avant de mourir.;Quand vous invoquez un sort d’Entropie, son coût en mana est réduit de 1 (il ne peut pas tomber ainsi à 0). Vous gagnez aussi un nouveau sort d’Entropie.;La magie d’Entropie est si puissante chez vous que les adversaires qui effectuent des attaques de corps à corps contre vous subissent une pénalité de –1 à leur Force. Vous gagnez aussi un nouveau sort d’Entropie.
primal_magic;Magie des Éléments;mage;focus$primal;Vous avez exploré les arcanes de la magie des Éléments.;Vous pouvez créer une petite flamme dans votre main sans dépenser de points de Mana. La flamme ne peut pas être utilisée en combat mais peut enflammer des objets non magiques. Elle reste dans votre main jusqu’à ce que vous la dissipiez. Créer et dissiper la flamme sont des actions libres.;Votre connaissance de la magie des Éléments est profonde. Quand vous invoquez un sort des Éléments, son coût en Mana est réduit de 1 (il ne peut pas tomber ainsi à 0). Vous gagnez aussi un nouveau sort des Éléments.;La magie des Éléments irradie de vous. Quand vous accomplissez la prouesse Sort puissant, vous pouvez infliger les dégâts supplémentaires accordés par la prouesse à plusieurs cibles du sort. Chaque cible supplémentaire coûte 1 point de prouesse (il faut donc 3 PP pour affecter deux cibles, 4 PP pour affecter trois cibles, etc.). Vous gagnez aussi un nouveau sort des Éléments.
spirit_magic;Magie d'Esprit;mage;focus$spirit;Vous avez exploré les arcanes de la magie d’Esprit.;Vous êtes capable de sentir l’humeur d’un être intelligent dans un rayon de 6 mètres autour de vous au prix d’une action mineure. Le MJ doit vous décrire cette humeur en un seul mot (en colère, distrait ou heureux par exemple).;Votre connaissance de la magie d’Esprit est profonde. Quand vous invoquez un sort d’Esprit, son coût en Mana est réduit de 1 (il ne peut pas tomber ainsi à 0). Vous gagnez aussi un nouveau sort d’Esprit.;Vous possédez un tel contrôle de la magie d’Esprit que le Mana jaillit de vous comme un torrent. Quand vous faites un jet pour regagner des points de Mana, vous pouvez choisir de relancer les dés mais vous devez garder le résultat du second jet. Vous gagnez aussi un nouveau sort d’Esprit.
mucis;Musique;warrior&mage&rogue;focus$performance&&focus$musical_lore;Vous avez un don naturel pour la musique.;Vous savez jouer d’un instrument, chanter, et lire et écrire de la musique.;Votre cheminement musical se poursuit au fur et à mesure que vous apprenez à jouer de nouveaux instruments. Vous savez jouer d’autant d’instruments que votre Communication.;Vous êtes un véritable virtuose. Vous savez jouer de tous les instruments communs en Thédas. Si vous tombez sur un instrument plus exotique, vous pouvez apprendre à en jouer en vous exerçant pendant 1d6 semaines.
observation;Observation;warrior&mage&rogue;attribute$perception$3;Votre oeil exercé repère les moindres détails.;Vous remarquez des choses qui échappent aux autres. Choisissez l’une des compétences de Perception suivantes : Empathie ou Vue. Si vous ratez un test de Perception utilisant la compétence choisie, vous pouvez le relancer mais vous devrez garder le résultat du second jet.;L’analyse de vos observations vous fournit souvent des renseignements précieux. Vous pouvez accomplir la prouesse d’exploration Je me demande… pour 2 PP au lieu de 3 normalement.;Rien ne vous échappe. Vous pouvez accomplir la prouesse d’exploration L’objet de votre attention pour 2 PP au lieu de 3 normalement. De plus, cette prouesse vous donne un bonus de +2 au lieu de +1 normalement.
trap_making;Piégage;warrior&mage&rogue;focus$crafting;Vous avez appris à concevoir et fabriquer des dispositifs pour blesser et immobiliser vos ennemis. Pour plus de détails sur l’utilisation de ce talent, consultez la section L’art de l’empoisonnement dans le Chapitre 4 : Les armes, les armures & l’équipement.;Vous savez installer et désamorcer des pièges simples, ayant des dégâts de base de 2d6 maximum et jusqu’à un effet supplémentaire (vous pouvez choisir un effet supplémentaire différent pour chaque piège que vous installez). Vous avez un bonus de +1 pour comprendre la nature des pièges posés par quelqu’un d’autre et pour les désamorcer.;Vous savez installer et désamorcer des pièges plus complexes et redoutables, ayant des dégâts de base de 4d6 maximum et jusqu’à deux effets supplémentaires. Vous avez un bonus de +2 pour comprendre la nature des pièges posés par quelqu’un d’autre et pour les désamorcer.;Vous savez installer et désamorcer les pièges les plus sournois et dévastateurs, ayant des dégâts de base de 6d6 maximum et autant d’effets supplémentaires que vous en voulez. Vous avez un bonus de +3 pour comprendre la nature des pièges posés par quelqu’un d’autre et pour les désamorcer.
armor_training;Port d'Armure;warrior;none;Vous avez appris à vous battre en portant une armure. Vous ne subissez la pénalité d’armure que sur votre Rapidité, alors que ceux qui n’ont pas ce talent la subissent sur tous les tests et valeurs liés à la Dextérité (y compris la Rapidité).;Vous pouvez porter des armures de cuir et de mailles sans subir de pénalité à votre Dextérité.;Vous pouvez porter des armures de plates sans subir de pénalité à votre Dextérité.;Vous savez tirer toujours le meilleur parti de votre armure. Vous bénéficiez de la moitié du score d’armure (arrondi à l’inférieur) de votre armure quand vous subissez des dégâts pénétrants. (En temps normal, l’armure n’offre aucune protection contre les dégâts pénétrants.)
scouting;Reconnaissance;rogue;attribute$dexterity$2;Vous êtes un éclaireur hors pair.;Vous pouvez utiliser le terrain à votre avantage. Si vous ratez un test de Dextérité (Discrétion), vous pouvez le relancer, mais vous devez garder le résultat du second jet.;Vous n’avez pas votre égal pour prendre vos ennemis de court. Vous pouvez accomplir la prouesse Prise d’initiative pour 2 points de prouesse au lieu de 4 normalement.;Vous êtes un excellent observateur. Si vous ratez un test de Perception (Vue), vous pouvez le relancer, mais vous devez garder le résultat du second jet.
quick_reflexes;Réflexes Éclairs;warrior&mage&rogue;attribute$dexterity$2;Vos instincts vous permettent de réagir immédiatement aux menaces.;Un instant vous suffit pour être prêt à agir. Une fois par round, vous pouvez utiliser apprêter comme une action libre pendant votre tour.;Vous êtes capable de sauter sur vos pieds ou de vous laisser tomber à la vitesse de l’éclair. Vous pouvez vous jeter à terre ou vous relever pour une action libre (ce n’est normalement possible que dans le cadre d’une action se déplacer).;Il est difficile de vous prendre par surprise. Vous pouvez refaire votre jet d’initiative au début d’une rencontre de combat, mais vous devrez garder le résultat du second jet.